"","ID","condition","part","age","gender","trial","image","choice","correct","rt"
"1","FP10a","FlexPairA","Part1",26,"Male",1,"stimulus_part_one_and_two\stimulus1_5_L.jpg","left",1,44.5938288999987
"2","FP10a","FlexPairA","Part1",26,"Male",2,"stimulus_part_one_and_two\stimulus2_6_R.jpg","right",1,36.3180448999992
"3","FP10a","FlexPairA","Part1",26,"Male",3,"stimulus_part_one_and_two\stimulus3_5_L.jpg","right",0,6.60645099999965
"4","FP10a","FlexPairA","Part1",26,"Male",4,"stimulus_part_one_and_two\stimulus4_7_L.jpg","left",1,20.2608928000009
"5","FP10a","FlexPairA","Part1",26,"Male",5,"stimulus_part_one_and_two\stimulus5_6_R.jpg","left",0,24.1521817000012
"6","FP10a","FlexPairA","Part1",26,"Male",6,"stimulus_part_one_and_two\stimulus6_8_R.jpg","right",1,36.7101438999998
"7","FP10a","FlexPairA","Part1",26,"Male",7,"stimulus_part_one_and_two\stimulus7_8_R.jpg","right",1,30.2928518000008
"8","FP10a","FlexPairA","Part1",26,"Male",8,"stimulus_part_one_and_two\stimulus8_7_L.jpg","left",1,24.0295894999999
"9","FP10a","FlexPairA","Part1",26,"Male",9,"stimulus_part_one_and_two\stimulus91_28_R.jpg","left",0,48.619850000001
"10","FP10a","FlexPairA","Part3",26,"Male",1,"stimulus_part_three\stimulus93_31_L.jpg","left",1,24.3583190000008
"11","FP10a","FlexPairA","Part3",26,"Male",2,"stimulus_part_three\stimulus94_1_L.jpg","left",1,26.6803091999991
"12","FP10a","FlexPairA","Part3",26,"Male",3,"stimulus_part_three\stimulus95_2_L.jpg","left",1,18.3773392000003
"13","FP10a","FlexPairA","Part3",26,"Male",4,"stimulus_part_three\stimulus96_10_R.jpg","right",1,43.9741465000006
"14","CP01a","Pair","Part1",25,"Female",1,"stimulus_part_one_and_two\stimulus1_5_L.jpg","left",1,97.6497039000005
"15","CP01a","Pair","Part1",25,"Female",2,"stimulus_part_one_and_two\stimulus2_6_R.jpg","right",1,33.1336078999993
"16","CP01a","Pair","Part1",25,"Female",3,"stimulus_part_one_and_two\stimulus3_5_L.jpg","left",1,43.7269928000005
"17","CP01a","Pair","Part1",25,"Female",4,"stimulus_part_one_and_two\stimulus4_7_L.jpg","left",1,39.6040885000002
"18","CP01a","Pair","Part1",25,"Female",5,"stimulus_part_one_and_two\stimulus5_6_R.jpg","right",1,31.5022282000009
